Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,25.0,10.0,Employed full-time,10.0,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,C#;Go;Java;JavaScript;Objective-C;PHP;Python;Kotlin;HTML;CSS;Bash/Shell,82648.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,299.5,Front-end developer,Java;JavaScript;Swift;TypeScript;HTML;CSS,78000.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,59.5,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Game or graphics developer;Student,Assembly;C++;JavaScript;Matlab;Perl;Python;SQL;Swift;HTML;CSS,120000.0
Russian Federation,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",4.0,4.0,Employed full-time,0.5,Back-end developer;Data or business analyst;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;System administrator,Java;JavaScript;SQL;VBA;HTML;CSS;Bash/Shell,42456.0
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,59.5,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,C;C++;C#;Python;SQL,30000.0
Romania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,10.0,QA or test developer,C;Java;Python;SQL;Bash/Shell,26436.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,749.5,Engineering manager;Mobile developer,Objective-C;Swift,34440.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,299.5,Back-end developer,Java;JavaScript;SQL,4128.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",7.0,7.0,Employed full-time,59.5,Front-end developer,JavaScript;TypeScript;HTML;CSS;Bash/Shell,141625.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,10.0,Designer;Full-stack developer,Java;JavaScript;HTML;CSS;Bash/Shell,71095.0
Germany,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,59.5,Back-end developer;QA or test developer,C#;Java;SQL;Swift;CSS,35244.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,1.0,Employed full-time,5.0,Embedded applications or devices developer,C;Java,4696.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,14.5,Back-end developer,Go;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell,120000.0
United Kingdom,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",22.0,19.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;JavaScript;TypeScript;HTML;CSS,69452.0
United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,4.0,4.0,Employed full-time,299.5,Designer;Front-end developer;Mobile developer;QA or test developer,Swift;HTML;CSS,63896.0
Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,299.5,Front-end developer;Full-stack developer,C#;JavaScript;TypeScript;HTML;CSS,63628.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",22.0,19.0,Employed full-time,749.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,C#;F#;JavaScript;Python;SQL;VB.NET;CSS,110000.0
