Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,10.0,Back-end developer;Designer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;HTML;CSS,30696.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,0.5,Embedded applications or devices developer,C;C++;Java;Matlab;Perl;Python;Bash/Shell,110000.0
Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,14.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;QA or test developer,C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,80776.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,59.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,C#;JavaScript;Lua;SQL;HTML;CSS,33366.0
Turkey,Some college/university study without earning a degree,I never declared a major,13.0,10.0,Employed full-time,749.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer;System administrator,C#;JavaScript,52800.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,299.5,Back-end developer,C;Java;JavaScript;SQL;HTML;CSS,5916.0
Kenya,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",4.0,1.0,Employed full-time,59.5,Data or business analyst;Database administrator;Full-stack developer;Marketing or sales professional;System administrator,Java;JavaScript;PHP;SQL;HTML;CSS,6420.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,13.0,Employed full-time,10.0,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer,JavaScript;TypeScript;HTML;CSS,117000.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Front-end developer,C;C++;C#;SQL;TypeScript;HTML;CSS,4512.0
Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",19.0,10.0,Employed full-time,5.0,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer,Assembly;C;C#;JavaScript;Matlab;SQL;VBA;HTML;CSS,33552.0
Brazil,Some college/university study without earning a degree,"Information systems, information technology, or system administration",1.0,1.0,Employed full-time,14.5,Back-end developer;Designer;Front-end developer;Full-stack developer;Student,Java;JavaScript;SQL,11232.0
India,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,5.0,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,6575.0
Canada,Some college/university study without earning a degree,"Information systems, information technology, or system administration",10.0,10.0,Employed full-time,14.5,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;System administrator,C#;JavaScript;SQL;HTML;CSS,60391.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",19.0,7.0,Employed full-time,14.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer;QA or test developer,C#;JavaScript;SQL;HTML;CSS,90000.0
Somalia,"Professional degree (JD, MD, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",1.0,1.0,Employed full-time,59.5,Engineering manager,Assembly,36000.0
Slovenia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",4.0,4.0,Employed full-time,14.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;System administrator,C#;JavaScript;SQL;VBA;HTML;CSS,27168.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,5.0,Back-end developer;Data scientist or machine learning specialist;Engineering manager;Front-end developer;Full-stack developer;QA or test developer,Erlang;Go;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,145000.0
Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,14.5,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,Java;JavaScript;HTML;CSS,20640.0
Russian Federation,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",16.0,10.0,Employed full-time,299.5,Database administrator;DevOps specialist;Full-stack developer,Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,27600.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Back-end developer;Designer;Desktop or enterprise applications developer;Embedded applications or devices developer;Game or graphics developer;Mobile developer;Student,C++;C#;Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,60000.0
Romania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,299.5,Full-stack developer;Mobile developer,C;C++;C#;JavaScript;TypeScript,38184.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10.0,10.0,Employed full-time,14.5,QA or test developer,Ruby,57975.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Back-end developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Product manager,Erlang;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,130800.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,10.0,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;System administrator,Groovy;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,112000.0
Israel,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,59.5,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;VB.NET;HTML;CSS,31596.0
Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,4.0,1.0,Employed part-time,14.5,Front-end developer;Student,Assembly;CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS,4488.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,299.5,Back-end developer;Embedded applications or devices developer;Full-stack developer,C;C++;C#;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS;Bash/Shell,58746.0
Pakistan,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,299.5,Back-end developer;Full-stack developer,C;C++;C#;JavaScript;PHP;SQL;HTML;CSS,6000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,C;JavaScript;Ruby;HTML;CSS,34726.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,10.0,Back-end developer;Desktop or enterprise applications developer,C;C++;C#;Java;JavaScript;SQL;VBA;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,13024.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,16.0,Employed part-time,5.0,Back-end developer;Full-stack developer,C;C++;C#;CoffeeScript;F#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,73428.0
United States,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,10.0,Data scientist or machine learning specialist;Educator or academic researcher;Game or graphics developer,C;C++;Matlab;Python;SQL;Bash/Shell,150000.0
Israel,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",16.0,16.0,Employed full-time,14.5,Back-end developer,Python,98304.0
Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,10.0,,C++;JavaScript;Lua;Perl;Python;Ruby;TypeScript;HTML;CSS,56365.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",25.0,19.0,Employed full-time,14.5,Back-end developer;Database administrator;Full-stack developer;Mobile developer,JavaScript;PHP;SQL;TypeScript;HTML;CSS,25003.0
Greece,Some college/university study without earning a degree,,10.0,4.0,Employed full-time,2.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;System administrator,Java;Perl;Python;Bash/Shell,24478.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,59.5,Back-end developer;Embedded applications or devices developer;System administrator,C;C++;Java;JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,41671.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",28.0,22.0,Employed full-time,0.5,Embedded applications or devices developer;Engineering manager,C;C++;Python,132000.0
Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",7.0,4.0,Employed full-time,299.5,Back-end developer;Full-stack developer,C#;JavaScript;SQL;HTML;CSS,63979.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,1.0,Employed full-time,10.0,Full-stack developer,C;C#;Matlab;Python;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,91791.0
Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",25.0,16.0,Employed full-time,299.5,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,Java;JavaScript;Objective-C;SQL;HTML;CSS,29376.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",16.0,10.0,Employed full-time,59.5,Full-stack developer,C#;CoffeeScript;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS,68000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,13.0,Employed full-time,299.5,Back-end developer;Engineering manager;Front-end developer;Full-stack developer,C#;JavaScript;SQL;CSS;Bash/Shell,180000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,299.5,Back-end developer;Database administrator;DevOps specialist;Full-stack developer;System administrator,C;C++;Go;Java;JavaScript;Python;SQL,175000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,59.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,C++;C#,96500.0
Denmark,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,13.0,Employed full-time,59.5,Back-end developer;Full-stack developer,C#;JavaScript;SQL;Swift;HTML;CSS,476650.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,59.5,Full-stack developer,C#;JavaScript;SQL;HTML;CSS,7512.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,299.5,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Desktop or enterprise applications developer;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer;Product manager;QA or test developer;System administrator",C++;Go;Java;JavaScript;Lua;PHP;Python;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell,113901.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,7.0,Employed part-time,59.5,Database administrator;Designer;Embedded applications or devices developer;Full-stack developer;Student,C;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS,7344.0
Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,14.5,Back-end developer;Mobile developer,C;C++;Java;JavaScript;Matlab;PHP;Python;Scala;SQL;HTML;CSS,36716.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,299.5,Full-stack developer;Product manager,Assembly;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,150000.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,16.0,13.0,Employed full-time,59.5,Front-end developer,C#;F#;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS,80521.0
Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,0.5,Mobile developer,Java,82000.0
Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",7.0,4.0,Employed full-time,59.5,Front-end developer;Full-stack developer,Go;JavaScript;Python;TypeScript;HTML;CSS;Bash/Shell,74657.0
Germany,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,749.5,Back-end developer;Desktop or enterprise applications developer;Game or graphics developer,C;C++;C#;JavaScript;HTML;CSS;Bash/Shell,39164.0
Ireland,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,749.5,Back-end developer;Full-stack developer,C#;JavaScript;HTML,97910.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",10.0,4.0,Employed full-time,299.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,Java;JavaScript;R;SQL,660900.0
Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed part-time,14.5,Front-end developer;Full-stack developer,C#;Java;JavaScript;TypeScript,778392.0
Bangladesh,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,4.0,1.0,Employed part-time,14.5,Back-end developer;Full-stack developer;Student,C;C++;Java;Python;SQL;HTML;CSS,2160.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",4.0,4.0,Employed full-time,299.5,Front-end developer;Full-stack developer,CoffeeScript;JavaScript;Ruby;TypeScript;HTML;CSS,80521.0
Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",19.0,4.0,Employed full-time,299.5,Full-stack developer,C++;Java;JavaScript,36720.0
United Kingdom,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,CoffeeScript;Groovy;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell,93760.0
Russian Federation,"Professional degree (JD, MD, etc.)","A social science (ex. anthropology, psychology, political science)",1.0,1.0,Employed full-time,5.0,Front-end developer,JavaScript;PHP;SQL;HTML;CSS,10620.0
Iraq,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;Student,C;C++;C#;Java;JavaScript;SQL;VB.NET;HTML;CSS,6060.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",22.0,13.0,Employed full-time,5.0,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,110000.0
Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,0.5,Back-end developer;Engineering manager,Erlang;Ruby;Scala,70368.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,16.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,C#;Java;JavaScript;SQL;VBA;HTML;CSS,66084.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",25.0,22.0,Employed full-time,299.5,Back-end developer;Database administrator;DevOps specialist;Engineering manager;Full-stack developer,C#;JavaScript;Lua;TypeScript;HTML;CSS;Bash/Shell,175000.0
United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,28.0,19.0,Employed full-time,2.5,Back-end developer;Designer;Engineering manager;Full-stack developer,Assembly;C;C++;Java;JavaScript;Lua;Perl;SQL;Ocaml;Bash/Shell,350000.0
Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,749.5,Back-end developer;Full-stack developer,Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,51403.0
United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,4.0,4.0,Employed full-time,59.5,Desktop or enterprise applications developer,C;C++;Julia;Matlab,112320.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,0.5,Back-end developer;Front-end developer;Full-stack developer,JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,130000.0
Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",1.0,1.0,Employed full-time,10.0,QA or test developer,R;SQL,34067.0
United States,Some college/university study without earning a degree,I never declared a major,4.0,4.0,Employed full-time,299.5,Database administrator;Full-stack developer;Mobile developer,C#;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS,60100.0
Croatia,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,59.5,Back-end developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;HTML;CSS,26436.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,749.5,QA or test developer,CoffeeScript;Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,56000.0
Belarus,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,C++;C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,6048.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,10.0,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,C;C++;C#;JavaScript;HTML;CSS;Bash/Shell,70500.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",30.0,28.0,Employed full-time,299.5,Back-end developer;Full-stack developer,Java,125000.0
France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,299.5,Full-stack developer,Groovy;Java;JavaScript;SQL;HTML;CSS,53851.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,10.0,Back-end developer,C;C++;C#;Erlang;Groovy;Java;Matlab;Perl;Python;R;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell,104678.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,C#;JavaScript;Python;HTML;CSS,4696.0
Chile,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,299.5,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer;Student,C++;C#;Scala;TypeScript;HTML;CSS,15780.0
Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,10.0,Back-end developer,Groovy;Java;JavaScript;SQL;Bash/Shell,99967.0
Germany,,,7.0,4.0,Employed full-time,59.5,Full-stack developer,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,39654.0
Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Front-end developer;Full-stack developer,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,34881.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Mobile developer,C;C++;Java;PHP;Kotlin;HTML;CSS,5166.0
Hungary,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,59.5,Back-end developer;Front-end developer,C#;JavaScript;PHP;TypeScript;HTML;CSS,33348.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,4.0,Employed full-time,59.5,Full-stack developer,Java;JavaScript;Python,8266.0
South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,59.5,Back-end developer;DevOps specialist;System administrator,JavaScript;Python;Bash/Shell,28843.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,10.0,Data scientist or machine learning specialist,Java;JavaScript;Rust;Scala;SQL;HTML;CSS;Bash/Shell,80521.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Front-end developer,C#;JavaScript;SQL;HTML;CSS,85000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,59.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,C#;JavaScript;SQL;HTML;CSS,58340.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,10.0,Back-end developer;Full-stack developer,Java;JavaScript;SQL;HTML;CSS,125000.0
Denmark,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,1.0,Employed full-time,59.5,Data scientist or machine learning specialist;Embedded applications or devices developer;Full-stack developer;QA or test developer,C;C++;C#;Python,77664.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",30.0,30.0,Employed full-time,14.5,"C-suite executive (CEO, CTO, etc.);Data or business analyst;DevOps specialist;Mobile developer",C;C++;Java;Objective-C;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,155000.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,59.5,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Mobile developer,Java;JavaScript;Objective-C;Python;SQL;Swift,84448.0
Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,7.0,Employed part-time,299.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer;System administrator,C#;JavaScript;Python;SQL;VB.NET;HTML;CSS;Bash/Shell,20556.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",30.0,30.0,Employed full-time,0.5,DevOps specialist,C;C++;Go;Java;JavaScript;Perl;Python;Ruby;Bash/Shell,100000.0
Australia,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,299.5,DevOps specialist;System administrator,C;Go;JavaScript;Lua;Ruby;Rust,75175.0
Belarus,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Engineering manager;Full-stack developer,C;C++;C#;TypeScript;HTML;CSS,22800.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",25.0,25.0,Employed full-time,299.5,Back-end developer;Data scientist or machine learning specialist,Python;Scala;SQL;HTML;Bash/Shell,110000.0
Italy,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,14.5,Back-end developer;Front-end developer;Full-stack developer;System administrator,Lua;Python;Scala;TypeScript;Bash/Shell,73433.0
Nigeria,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,14.5,Designer;Front-end developer;Mobile developer;Student,Java;Matlab,1668.0
Sweden,,,4.0,4.0,Employed full-time,59.5,Designer;Front-end developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,336.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,5.0,Back-end developer,C;F#;Haskell;Rust;SQL;HTML;CSS;Bash/Shell,69452.0
United Kingdom,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,7.0,1.0,Employed full-time,5.0,Embedded applications or devices developer;QA or test developer,C;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS;Bash/Shell,44449.0
United Arab Emirates,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,4.0,4.0,Employed full-time,5.0,Back-end developer;Front-end developer;Full-stack developer,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,29400.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer;Engineering manager;Product manager,C#;Go;Python;SQL,27240.0
United States,Associate degree,"Information systems, information technology, or system administration",22.0,10.0,Employed full-time,59.5,Full-stack developer,Java;JavaScript;PHP;Python;SQL;HTML;CSS,70000.0
Turkey,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",1.0,1.0,Employed full-time,5.0,Back-end developer;Full-stack developer,JavaScript;HTML;CSS;Bash/Shell,8400.0
Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",16.0,4.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;Student,JavaScript;Objective-C;Python;SQL;Swift;HTML;CSS;Bash/Shell,33684.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",19.0,10.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Engineering manager;Product manager,C#;Groovy;JavaScript;SQL;HTML;CSS,145000.0
Russian Federation,Some college/university study without earning a degree,"Information systems, information technology, or system administration",7.0,7.0,Employed full-time,299.5,Back-end developer,JavaScript;PHP;SQL;VBA;CSS,24408.0
